"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2017_E_1_30_34","2017","FEN","core_1","2017_E_1_30_34","30_34","E","15.9","5.1","N 68 21.194112, E 19 02.81954484","Eriophorum Autochamber Site","Fen","Difficult to tell, fluffy sphag layer floated in/above the water surface.","Below Detection (>100)"
"2017_E_2_1_5","2017","FEN","core_2","2017_E_2_1_5","1_5","E","18.1","5.7","N 68 21.20026074, E 19 02.80811616","Eriophorum Autochamber Site","Fen","17.0","Below Detection (>100)"
"2017_E_2_10_14","2017","FEN","core_2","2017_E_2_10_14","10_14","E","16.6","5.7","N 68 21.20026074, E 19 02.80811616","Eriophorum Autochamber Site","Fen","17.0","Below Detection (>100)"
"2017_E_2_20_24","2017","FEN","core_2","2017_E_2_20_24","20_24","E","15.6","5.6","N 68 21.20026074, E 19 02.80811616","Eriophorum Autochamber Site","Fen","17.0","Below Detection (>100)"
"2017_E_3_1_5","2017","FEN","core_3","2017_E_3_1_5","1_5","E","17.1","6.6","N 68 21.2033307, E 19 02.79918348","Eriophorum Autochamber Site","Fen","10.0","Below Detection (>100)"
"2017_E_3_10_14","2017","FEN","core_3","2017_E_3_10_14","10_14","E","16.1","5.8","N 68 21.2033307, E 19 02.79918348","Eriophorum Autochamber Site","Fen","10.0","Below Detection (>100)"
"2017_E_3_20_24","2017","FEN","core_3","2017_E_3_20_24","20_24","E","15.6","5.9","N 68 21.2033307, E 19 02.79918348","Eriophorum Autochamber Site","Fen","10.0","Below Detection (>100)"
"2017_E_3_30_34","2017","FEN","core_3","2017_E_3_30_34","30_34","E","15.2","6","N 68 21.2033307, E 19 02.79918348","Eriophorum Autochamber Site","Fen","10.0","Below Detection (>100)"
"2018_P1_1_5","2018","PALSA","core_1","2018_P_1_1_5","1_5","P","15.5","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_10_14","2018","PALSA","core_1","2018_P_1_10_14","10_14","P","13.6","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_20_24","2018","PALSA","core_1","2018_P_1_20_24","20_24","P","11.9","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_30_34","2018","PALSA","core_1","2018_P_1_30_34","30_34","P","9.9","gas","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_40_44","2018","PALSA","core_1","2018_P_1_40_44","40_44","P","8.3","","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_50_54","2018","PALSA","core_1","2018_P_1_50_54","50_54","P",NA,"","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_60_64","2018","PALSA","core_1","2018_P_1_60_64","60_64","P",NA,"","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P1_70_74","2018","PALSA","core_1","2018_P_1_70_74","70_74","P",NA,"","N 68 21.1993, E 19 02.8215","Palsa Autochamber Site","Palsa","-76.0","41.0"
"2018_P2_1_5","2018","PALSA","core_2","2018_P_2_1_5","1_5","P","16.2","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_10_14","2018","PALSA","core_2","2018_P_2_10_14","10_14","P","13.1","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_20_24","2018","PALSA","core_2","2018_P_2_20_24","20_24","P","10.8","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_30_34","2018","PALSA","core_2","2018_P_2_30_34","30_34","P","9.5","gas","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_40_44","2018","PALSA","core_2","2018_P_2_40_44","40_44","P","8.3","","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_50_54","2018","PALSA","core_2","2018_P_2_50_54","50_54","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_60_64","2018","PALSA","core_2","2018_P_2_60_64","60_64","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_70_74","2018","PALSA","core_2","2018_P_2_70_74","70_74","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P2_80_84","2018","PALSA","core_2","2018_P_2_80_84","80_84","P",NA,"","N 68 21.2109, E 19 02.8368","Palsa Autochamber Site","Palsa","Not Measured","40.0"
"2018_P3_1_5","2018","PALSA","core_3","2018_P_3_1_5","1_5","P","14.6","gas","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_10_14","2018","PALSA","core_3","2018_P_3_10_14","10_14","P","11.2","gas","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_20_24","2018","PALSA","core_3","2018_P_3_20_24","20_24","P","9","gas","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_30_34","2018","PALSA","core_3","2018_P_3_30_34","30_34","P","7","","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_40_44","2018","PALSA","core_3","2018_P_3_40_44","40_44","P","5.6","","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_50_54","2018","PALSA","core_3","2018_P_3_50_54","50_54","P",NA,"","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_60_64","2018","PALSA","core_3","2018_P_3_60_64","60_64","P",NA,"","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
"2018_P3_70_74","2018","PALSA","core_3","2018_P_3_70_74","70_74","P",NA,"","N 68 21.2140, E 19 02.8433","Palsa Autochamber Site","Palsa","Not Measured","43.0"
